time,p2p 0.1d %,p2p 0.2d %,p2p 0.3d %,p2p 0.4d %,p2p 0.5d %,p2p 0.8d %,,cs 0.1d %,cs 0.2d %,cs 0.3d %,cs 0.4d %,cs 0.5d %
123000,-0.212605042,-0.207043109,-0.16408046,0.872063492,0.785380117,0.210341365,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.840494792
124000,-0.212605042,-0.207043109,-0.16408046,0.872698413,0.786549708,0.210843373,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.841471354
125000,-0.212605042,-0.207043109,-0.16408046,0.873015873,0.787426901,0.211345382,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.842447917
126000,-0.212605042,-0.207043109,-0.16408046,0.873333333,0.788596491,0.21184739,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.842773438
127000,-0.212605042,-0.207043109,-0.16408046,0.873333333,0.790935673,0.212349398,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.843424479
128000,-0.212605042,-0.207043109,-0.16408046,0.873333333,0.792105263,0.212851406,,0.765861027,-0.105340376,-0.132435466,0.824869792,0.844075521
129000,-0.212605042,-0.207043109,-0.16408046,0.873333333,0.793567251,0.213353414,,0.765861027,-0.105340376,-0.132435466,0.825195313,0.844401042
130000,-0.212605042,-0.207043109,-0.16408046,0.873968254,0.793567251,0.213855422,,0.765861027,-0.105340376,-0.132435466,0.826171875,0.844726563
131000,-0.212605042,-0.207043109,-0.16408046,0.874285714,0.794736842,0.21435743,,0.765861027,-0.105340376,-0.132435466,0.826171875,0.845052083
132000,-0.212605042,-0.207043109,-0.16408046,0.874285714,0.795321637,0.214859438,,0.765861027,-0.105340376,-0.132435466,0.826171875,0.845052083
133000,-0.212605042,-0.207043109,-0.16408046,0.874285714,0.796491228,0.214859438,,0.765861027,-0.105340376,-0.132435466,0.826171875,0.845377604
